Source text,Translation,Context,Path,name,new_wording,path,org_wording,output_path
sensor lost,感測器丟失,,SYSTEM,sensorko.wav,感測器丟失,cn\SYSTEM\sensorko.wav,感測器丟失,zh-tw\SYSTEM\sensorko.wav
servo overload,舵機超載,,SYSTEM,servoko.wav,舵機超載,cn\SYSTEM\servoko.wav,舵機超載,zh-tw\SYSTEM\servoko.wav
power overload,功率超載,,SYSTEM,rxko.wav,功率超載,cn\SYSTEM\rxko.wav,功率超載,zh-tw\SYSTEM\rxko.wav
receiver still connected,接收機未關閉,,SYSTEM,modelpwr.wav,接收機未關閉,cn\SYSTEM\modelpwr.wav,接收機未關閉,zh-tw\SYSTEM\modelpwr.wav
armed,已解鎖,,,armed.wav,起槳 準備起飛,cn\armed.wav,已解鎖,zh-tw\armed.wav
disarmed,已鎖定,,,disarm.wav,上鎖,cn\disarm.wav,已鎖定,zh-tw\disarm.wav
throttle cut,關斷油門,,,thrcut.wav,關斷油門,cn\thrcut.wav,關斷油門,zh-tw\thrcut.wav
throttle active,開啟油門,,,thract.wav,開啟油門,cn\thract.wav,開啟油門,zh-tw\thract.wav
gear up,收起起落架,,,gearup.wav,收起起落架,cn\gearup.wav,收起起落架,zh-tw\gearup.wav
gear down,放下起落架,,,geardn.wav,放下起落架,cn\geardn.wav,放下起落架,zh-tw\geardn.wav
flaps up,收起襟翼,,,flapup.wav,收起襟翼,cn\flapup.wav,收起襟翼,zh-tw\flapup.wav
flaps down,放下襟翼,,,flapdn.wav,放下襟翼,cn\flapdn.wav,放下襟翼,zh-tw\flapdn.wav
spoiler up,收起擾流板,,,splrup.wav,收起擾流板,cn\splrup.wav,收起擾流板,zh-tw\splrup.wav
spoiler down,放下擾流板,,,splrdn.wav,放下擾流板,cn\splrdn.wav,放下擾流板,zh-tw\splrdn.wav
trainer on,開啟教練功能,,,trnon.wav,開啟教練功能,cn\trnon.wav,開啟教練功能,zh-tw\trnon.wav
trainer off,關閉教練功能,,,trnoff.wav,關閉教練功能,cn\trnoff.wav,關閉教練功能,zh-tw\trnoff.wav
engine off,關閉引擎,,,engoff.wav,關閉引擎,cn\engoff.wav,關閉引擎,zh-tw\engoff.wav
too high,太高,,,tohigh.wav,太高,cn\tohigh.wav,太高,zh-tw\tohigh.wav
too low,太低,,,tolow.wav,太低,cn\tolow.wav,太低,zh-tw\tolow.wav
low battery,電池電壓低,,,lowbat.wav,飛機快沒電了,cn\lowbat.wav,電池電壓低,zh-tw\lowbat.wav
crow on,開啟升降提示音,,,crowon.wav,開啟升降提示音,cn\crowon.wav,開啟升降提示音,zh-tw\crowon.wav
crow off,關閉升降提示音,,,crowof.wav,關閉升降提示音,cn\crowof.wav,關閉升降提示音,zh-tw\crowof.wav
rf signal low,射頻信號弱,,,siglow.wav,射頻信號弱,cn\siglow.wav,射頻信號弱,zh-tw\siglow.wav
rf signal critical,射頻信號危險,,,sigcrt.wav,射頻信號危險,cn\sigcrt.wav,射頻信號危險,zh-tw\sigcrt.wav
LQ,連接品質,,,lq.wav,連接品質,cn\lq.wav,連接品質,zh-tw\lq.wav
RF mode,射頻模式,,,rfmode.wav,射頻模式,cn\rfmode.wav,射頻模式,zh-tw\rfmode.wav
high speed mode active,啟動高速模式,,,spdmod.wav,啟動高速模式,cn\spdmod.wav,啟動高速模式,zh-tw\spdmod.wav
thermal mode on,開啟熱氣流模式,,,thmmod.wav,開啟熱氣流模式,cn\thmmod.wav,開啟熱氣流模式,zh-tw\thmmod.wav
normal mode on,開啟正常模式,,,nrmmod.wav,開啟正常模式,cn\nrmmod.wav,開啟正常模式,zh-tw\nrmmod.wav
landing mode on,開啟降落模式,,,lnding.wav,開啟降落模式,cn\lnding.wav,開啟降落模式,zh-tw\lnding.wav
acro mode on,開啟特技模式,,,acro.wav,開啟特技模式,cn\acro.wav,開啟特技模式,zh-tw\acro.wav
flight mode 1,飛行模式1,,,fm-1.wav,飛行模式1,cn\fm-1.wav,飛行模式1,zh-tw\fm-1.wav
flight mode 2,飛行模式2,,,fm-2.wav,飛行模式2,cn\fm-2.wav,飛行模式2,zh-tw\fm-2.wav
flight mode 3,飛行模式3,,,fm-3.wav,飛行模式3,cn\fm-3.wav,飛行模式3,zh-tw\fm-3.wav
flight mode 4,飛行模式4,,,fm-4.wav,飛行模式4,cn\fm-4.wav,飛行模式4,zh-tw\fm-4.wav
flight mode 5,飛行模式5,,,fm-5.wav,飛行模式5,cn\fm-5.wav,飛行模式5,zh-tw\fm-5.wav
flight mode 6,飛行模式6,,,fm-6.wav,飛行模式6,cn\fm-6.wav,飛行模式6,zh-tw\fm-6.wav
flight mode 7,飛行模式7,,,fm-7.wav,飛行模式7,cn\fm-7.wav,飛行模式7,zh-tw\fm-7.wav
flight mode 8,飛行模式8,,,fm-8.wav,飛行模式8,cn\fm-8.wav,飛行模式8,zh-tw\fm-8.wav
flight mode 9,飛行模式9,,,fm-9.wav,飛行模式9,cn\fm-9.wav,飛行模式9,zh-tw\fm-9.wav
vario on,開啟升降儀,,,vrion.wav,開啟升降儀,cn\vrion.wav,開啟升降儀,zh-tw\vrion.wav
vario off,關閉升降儀,,,vrioff.wav,關閉升降儀,cn\vrioff.wav,關閉升降儀,zh-tw\vrioff.wav
